pid,h2,h3,strong,p,cpt,t.1,p.1,speaker.d,t.3,t.2,t.4,t.5,t.c
288,NA,NA,קלרה:, אדון מה?,קלרה: אדון מה?,"<sp who=""#klara""><speaker>קלרה</speaker><p> אדון מה?</p></sp>",NA,klara,,NA,NA,NA,NA
289,NA,NA,דיאמנט:," אדון אדם. מצחיק, מה? איני סבור ששמו אדם. כינוי לבטח. שקט, הוא חוזר…","דיאמנט: אדון אדם. מצחיק, מה? איני סבור ששמו אדם. כינוי לבטח. שקט, הוא חוזר…","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> אדון אדם. מצחיק, מה? איני סבור ששמו אדם. כינוי לבטח. שקט, הוא חוזר…</p></sp>",NA,diamenet,,NA,NA,NA,NA
290,NA,NA,מירקין:, (נכנס) החדר עומד לרשותכם עד הבקר. רק עד הבקר.,מירקין: (נכנס) החדר עומד לרשותכם עד הבקר. רק עד הבקר.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> <stage> נכנס </stage> החדר עומד לרשותכם עד הבקר. רק עד הבקר.</p></sp>",NA,mirkin,,NA,NA,NA,NA
291,NA,NA,דיאמנט:, (מקיש בקצב את כוסיתו אל בקבוק היין) מה אמרת?,דיאמנט: (מקיש בקצב את כוסיתו אל בקבוק היין) מה אמרת?,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> <stage> מקיש בקצב את כוסיתו אל בקבוק היין </stage> מה אמרת?</p></sp>",NA,diamenet,,NA,NA,NA,NA
292,NA,NA,מירקין:, אמרתי – רק עד הבקר. בבקר תלכו מכאן. זה הכל.,מירקין: אמרתי – רק עד הבקר. בבקר תלכו מכאן. זה הכל.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> אמרתי – רק עד הבקר. בבקר תלכו מכאן. זה הכל.</p></sp>",NA,mirkin,,NA,NA,NA,NA
293,NA,NA,דיאמנט:, אתה צודק. עד הבקר. באור יום תבחון היטב היטב את מצבך.,דיאמנט: אתה צודק. עד הבקר. באור יום תבחון היטב היטב את מצבך.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> אתה צודק. עד הבקר. באור יום תבחון היטב היטב את מצבך.</p></sp>",NA,diamenet,,NA,NA,NA,NA
294,NA,NA,מירקין:, מצבי שלי?,מירקין: מצבי שלי?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> מצבי שלי?</p></sp>",NA,mirkin,,NA,NA,NA,NA
295,NA,NA,דיאמנט:," כן. כמובן (מרמז לקלרה לצאת. היא נרמזת. קלרה
יוצאת) כמובן, ידידי היקר. הבט אלי: א. מעשה בקאפו. 2. תצלום ממקום הפשע. 3. פרשת רכושו של הכנר מירקין. בינתיים זה מספיק. הכנר השאיר אחריו רכוש –
ומה היא זכותך לרשת אותו, אני שואל? מדוע זה תהנה ממנו רק אתה בלבד? וכי
משום שדיאמנט נלחם על חייו ויצא מתוך הגיהנום חי ובריא, הוא פסול ואתה כשר?
מי שמך יורש? שואל אני? אל תתחמק. אם הכנר השאיר רכוש אחריו – הרי אנחנו
כולנו שותפים, הרץ, אדלר ואני. ארבעה! מירקין – ארבעה! יש אפשרות אחרת –
שנים בלבד, אם, כמובן, נמצא שפה משותפת. שכחתי משהו?","דיאמנט: כן. כמובן (מרמז לקלרה לצאת. היא נרמזת. קלרה
יוצאת) כמובן, ידידי היקר. הבט אלי: א. מעשה בקאפו. 2. תצלום ממקום הפשע. 3. פרשת רכושו של הכנר מירקין. בינתיים זה מספיק. הכנר השאיר אחריו רכוש –
ומה היא זכותך לרשת אותו, אני שואל? מדוע זה תהנה ממנו רק אתה בלבד? וכי
משום שדיאמנט נלחם על חייו ויצא מתוך הגיהנום חי ובריא, הוא פסול ואתה כשר?
מי שמך יורש? שואל אני? אל תתחמק. אם הכנר השאיר רכוש אחריו – הרי אנחנו
כולנו שותפים, הרץ, אדלר ואני. ארבעה! מירקין – ארבעה! יש אפשרות אחרת –
שנים בלבד, אם, כמובן, נמצא שפה משותפת. שכחתי משהו?","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> כן. כמובן (מרמז לקלרה לצאת. היא נרמזת. קלרה
יוצאת) כמובן, ידידי היקר. הבט אלי: א. מעשה בקאפו. 2. תצלום ממקום הפשע. 3. פרשת רכושו של הכנר מירקין. בינתיים זה מספיק. הכנר השאיר אחריו רכוש –
ומה היא זכותך לרשת אותו, אני שואל? מדוע זה תהנה ממנו רק אתה בלבד? וכי
משום שדיאמנט נלחם על חייו ויצא מתוך הגיהנום חי ובריא, הוא פסול ואתה כשר?
מי שמך יורש? שואל אני? אל תתחמק. אם הכנר השאיר רכוש אחריו – הרי אנחנו
כולנו שותפים, הרץ, אדלר ואני. ארבעה! מירקין – ארבעה! יש אפשרות אחרת –
שנים בלבד, אם, כמובן, נמצא שפה משותפת. שכחתי משהו?</p></sp>",NA,diamenet,,NA,NA,NA,NA
296,NA,NA,מירקין:," שכחת אל מי אתה מדבר, דיאמנט!","מירקין: שכחת אל מי אתה מדבר, דיאמנט!","<sp who=""#mirkin""><speaker>מירקין</speaker><p> שכחת אל מי אתה מדבר, דיאמנט!</p></sp>",NA,mirkin,,NA,NA,NA,NA
297,NA,NA,דיאמנט:," כן, קראו לך “דער מענטש” האדם. מענין מאוד.
נזכרתי בדבר. אולם אני מציע לך שתהרהר בגורלך, כלומר אתה צריך להשלים עם כך
שאין לך גורל בארץ ובשמים – מלבדי. אני הוא גורלך כשם שיכולת אתה להיות
גורלי ביער, והחמצת את ההזדמנות הנפלאה לראותני תלוי, בלא טענות
יתרות.","דיאמנט: כן, קראו לך “דער מענטש” האדם. מענין מאוד.
נזכרתי בדבר. אולם אני מציע לך שתהרהר בגורלך, כלומר אתה צריך להשלים עם כך
שאין לך גורל בארץ ובשמים – מלבדי. אני הוא גורלך כשם שיכולת אתה להיות
גורלי ביער, והחמצת את ההזדמנות הנפלאה לראותני תלוי, בלא טענות
יתרות.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> כן, קראו לך “דער מענטש” האדם. מענין מאוד.
נזכרתי בדבר. אולם אני מציע לך שתהרהר בגורלך, כלומר אתה צריך להשלים עם כך
שאין לך גורל בארץ ובשמים – מלבדי. אני הוא גורלך כשם שיכולת אתה להיות
גורלי ביער, והחמצת את ההזדמנות הנפלאה לראותני תלוי, בלא טענות
יתרות.</p></sp>",NA,diamenet,,NA,NA,NA,NA
298,NA,NA,מירקין:, והרי אתה יודע שהנני חף מפשע.,מירקין: והרי אתה יודע שהנני חף מפשע.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> והרי אתה יודע שהנני חף מפשע.</p></sp>",NA,mirkin,,NA,NA,NA,NA
299,NA,NA,דיאמנט:, ומי מסר למשטרה כי אני קאפו? מי דאג לכך שאשב בבית הכלא והוא עצמו התחמק וברח לארץ ישראל?,דיאמנט: ומי מסר למשטרה כי אני קאפו? מי דאג לכך שאשב בבית הכלא והוא עצמו התחמק וברח לארץ ישראל?,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> ומי מסר למשטרה כי אני קאפו? מי דאג לכך שאשב בבית הכלא והוא עצמו התחמק וברח לארץ ישראל?</p></sp>",NA,diamenet,,NA,NA,NA,NA
300,NA,NA,מירקין:, חובתי היתה לעשות זאת.,מירקין: חובתי היתה לעשות זאת.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> חובתי היתה לעשות זאת.</p></sp>",NA,mirkin,,NA,NA,NA,NA
301,NA,NA,דיאמנט:, אולם אני מפרש את החובה בדרך אחרת.,דיאמנט: אולם אני מפרש את החובה בדרך אחרת.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> אולם אני מפרש את החובה בדרך אחרת.</p></sp>",NA,diamenet,,NA,NA,NA,NA
302,NA,NA,מירקין:," בדרך מחנה המות זורין, אני יודע.","מירקין: בדרך מחנה המות זורין, אני יודע.","<sp who=""#mirkin""><speaker>מירקין</speaker><p> בדרך מחנה המות זורין, אני יודע.</p></sp>",NA,mirkin,,NA,NA,NA,NA
303,NA,NA,דיאמנט:, כל העולם כולו הוא בדמות המחנה שלנו בזורין. כל העולם מירקין. כל ההיסטוריה האנושית היא בדמות מחנה המות זורין.,דיאמנט: כל העולם כולו הוא בדמות המחנה שלנו בזורין. כל העולם מירקין. כל ההיסטוריה האנושית היא בדמות מחנה המות זורין.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> כל העולם כולו הוא בדמות המחנה שלנו בזורין. כל העולם מירקין. כל ההיסטוריה האנושית היא בדמות מחנה המות זורין.</p></sp>",NA,diamenet,,NA,NA,NA,NA
304,NA,NA,מירקין:," המלחמה נגמרה לפני שנים, דיאמנט, המלחמה
נסתיימה מכבר. הרי אינך זאב מיער. אין מחנות רכוז… אין נאצים… זהו עולם
אחר… חדש… יש בידך הזדמנות לשנות את חייך, דיאמנט.","מירקין: המלחמה נגמרה לפני שנים, דיאמנט, המלחמה
נסתיימה מכבר. הרי אינך זאב מיער. אין מחנות רכוז… אין נאצים… זהו עולם
אחר… חדש… יש בידך הזדמנות לשנות את חייך, דיאמנט.","<sp who=""#mirkin""><speaker>מירקין</speaker><p> המלחמה נגמרה לפני שנים, דיאמנט, המלחמה
נסתיימה מכבר. הרי אינך זאב מיער. אין מחנות רכוז… אין נאצים… זהו עולם
אחר… חדש… יש בידך הזדמנות לשנות את חייך, דיאמנט.</p></sp>",NA,mirkin,,NA,NA,NA,NA
305,NA,NA,דיאמנט:," ח, ח, ח טען בפני היער שזאבים שורצים בו. לא אני בראתי ג’ונגל זה שבו האדם הוא טרף או טורף.","דיאמנט: ח, ח, ח טען בפני היער שזאבים שורצים בו. לא אני בראתי ג’ונגל זה שבו האדם הוא טרף או טורף.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> ח, ח, ח טען בפני היער שזאבים שורצים בו. לא אני בראתי ג’ונגל זה שבו האדם הוא טרף או טורף.</p></sp>",NA,diamenet,,NA,NA,NA,NA
306,NA,NA,מירקין:, כסבור אתה שאני נמנה על הנטרפים?,מירקין: כסבור אתה שאני נמנה על הנטרפים?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> כסבור אתה שאני נמנה על הנטרפים?</p></sp>",NA,mirkin,,NA,NA,NA,NA
307,NA,NA,דיאמנט:, אין לי כל ספק. אולם הפעם לא תצליח להערים עלי. מכאן שוב לא תברח.,דיאמנט: אין לי כל ספק. אולם הפעם לא תצליח להערים עלי. מכאן שוב לא תברח.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> אין לי כל ספק. אולם הפעם לא תצליח להערים עלי. מכאן שוב לא תברח.</p></sp>",NA,diamenet,,NA,NA,NA,NA
308,NA,NA,מירקין:," ואינך פוחד שכאן, בישראל, יאמינו לדברי? אינך חושש שאסגיר אותך בידי המשטרה? נניח את כל הקלפים על השלחן, דיאמנט!","מירקין: ואינך פוחד שכאן, בישראל, יאמינו לדברי? אינך חושש שאסגיר אותך בידי המשטרה? נניח את כל הקלפים על השלחן, דיאמנט!","<sp who=""#mirkin""><speaker>מירקין</speaker><p> ואינך פוחד שכאן, בישראל, יאמינו לדברי? אינך חושש שאסגיר אותך בידי המשטרה? נניח את כל הקלפים על השלחן, דיאמנט!</p></sp>",NA,mirkin,,NA,NA,NA,NA
309,NA,NA,דיאמנט:," ח. ח, ח, בעצם זה רעיון נכון. מוזר, דוקא על
כך לא חשבתי. ובכן, מדוע אינך מצלצל? קרא לשוטר או לקצין – ומסור להם דרישת
שלום ממני, ואני אמסור את שמך, וכך נעסוק בחליפי שמות ועדויות. לדעתי זה
רעיון גניאלי. רואה אני שאינך מצלצל. יפה. כלומר, כל צד יודע בדיוק היכן
הוא נמצא. כך אני אוהב. ועכשיו, חרוט את דברי היטב־היטב בזכרונך הלקוי,
“אדון מענטש”. שלשה אנשים יצאו ממחנה המות זורין בשלום, אני הרץ ואדלר.
הרביעי אתה, הוא חף מפשע. אתה נקי מכל חטא. אך לצערי השלשה הם רוב – והרוב
צודק תמיד במעבה הג’ונגל. ובכן, הבה נרים כוס, יחדיו, אני ואתה, לחיי הכנר
מירקין אשר מת וגופו נשרף לאפר במחנה הרכוז זורין בעשירי לחודש דצמבר 1943
והשאיר אחריו בת קטנה בשם מרים ללא אב וללא אם.","דיאמנט: ח. ח, ח, בעצם זה רעיון נכון. מוזר, דוקא על
כך לא חשבתי. ובכן, מדוע אינך מצלצל? קרא לשוטר או לקצין – ומסור להם דרישת
שלום ממני, ואני אמסור את שמך, וכך נעסוק בחליפי שמות ועדויות. לדעתי זה
רעיון גניאלי. רואה אני שאינך מצלצל. יפה. כלומר, כל צד יודע בדיוק היכן
הוא נמצא. כך אני אוהב. ועכשיו, חרוט את דברי היטב־היטב בזכרונך הלקוי,
“אדון מענטש”. שלשה אנשים יצאו ממחנה המות זורין בשלום, אני הרץ ואדלר.
הרביעי אתה, הוא חף מפשע. אתה נקי מכל חטא. אך לצערי השלשה הם רוב – והרוב
צודק תמיד במעבה הג’ונגל. ובכן, הבה נרים כוס, יחדיו, אני ואתה, לחיי הכנר
מירקין אשר מת וגופו נשרף לאפר במחנה הרכוז זורין בעשירי לחודש דצמבר 1943
והשאיר אחריו בת קטנה בשם מרים ללא אב וללא אם.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> ח. ח, ח, בעצם זה רעיון נכון. מוזר, דוקא על
כך לא חשבתי. ובכן, מדוע אינך מצלצל? קרא לשוטר או לקצין – ומסור להם דרישת
שלום ממני, ואני אמסור את שמך, וכך נעסוק בחליפי שמות ועדויות. לדעתי זה
רעיון גניאלי. רואה אני שאינך מצלצל. יפה. כלומר, כל צד יודע בדיוק היכן
הוא נמצא. כך אני אוהב. ועכשיו, חרוט את דברי היטב־היטב בזכרונך הלקוי,
“אדון מענטש”. שלשה אנשים יצאו ממחנה המות זורין בשלום, אני הרץ ואדלר.
הרביעי אתה, הוא חף מפשע. אתה נקי מכל חטא. אך לצערי השלשה הם רוב – והרוב
צודק תמיד במעבה הג’ונגל. ובכן, הבה נרים כוס, יחדיו, אני ואתה, לחיי הכנר
מירקין אשר מת וגופו נשרף לאפר במחנה הרכוז זורין בעשירי לחודש דצמבר 1943
והשאיר אחריו בת קטנה בשם מרים ללא אב וללא אם.</p></sp>",NA,diamenet,,NA,NA,NA,NA
310,NA,NA,NA,NA,"
(האור דועך אט־אט הכנר נראה ברקע ונשמעת נגינתו)
",,NA,NA,,NA,NA,NA,NA
311,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,NA
312,NA,NA,מירקין:," לבי – עצור בך. אל תדהר אל מעשה נואש שאין
לחזור הימנו לעולם. ידי! ידי היו נא נבונות! היו נבונות. דם הוא גם הנפש –
ודמי מכה גלי טרוף הדעת. אם אני אובד במעשה יאוש אני מפקיר את מירי. לשמור
על הבינה. לשמור על הבינה. שקט. שקט. הסו! שקט! אסור לעשות זאת. אסור. דם
הוא גם הנפש. אמור לי, דיאמנט, מה הוא רצונך ממני?","מירקין: לבי – עצור בך. אל תדהר אל מעשה נואש שאין
לחזור הימנו לעולם. ידי! ידי היו נא נבונות! היו נבונות. דם הוא גם הנפש –
ודמי מכה גלי טרוף הדעת. אם אני אובד במעשה יאוש אני מפקיר את מירי. לשמור
על הבינה. לשמור על הבינה. שקט. שקט. הסו! שקט! אסור לעשות זאת. אסור. דם
הוא גם הנפש. אמור לי, דיאמנט, מה הוא רצונך ממני?","<sp who=""#mirkin""><speaker>מירקין</speaker><p> לבי – עצור בך. אל תדהר אל מעשה נואש שאין
לחזור הימנו לעולם. ידי! ידי היו נא נבונות! היו נבונות. דם הוא גם הנפש –
ודמי מכה גלי טרוף הדעת. אם אני אובד במעשה יאוש אני מפקיר את מירי. לשמור
על הבינה. לשמור על הבינה. שקט. שקט. הסו! שקט! אסור לעשות זאת. אסור. דם
הוא גם הנפש. אמור לי, דיאמנט, מה הוא רצונך ממני?</p></sp>",NA,mirkin,,NA,NA,NA,NA
313,NA,NA,NA,NA,"
(צחוקו של דיאמנט נשמע ממרחק)
",,NA,NA,,NA,NA,NA,NA
314,NA,NA,NA,NA,"
",,NA,NA,,NA,NA,NA,NA
315,NA,NA,NA,NA,– מסך –,,NA,NA,,NA,NA,NA,NA
316,NA,NA,NA,NA,"
",,NA,NA,,NA,NA,NA,NA
317,NA,NA,NA,NA,"
",,NA,NA,,NA,NA,NA,NA
318,NA,NA,NA,NA, ,,NA,NA,,NA,NA,NA,NA
